payment_id,order_id,amount,currency,status,captured_at,method,merchant_reference
PAY_10001,ORDER_10001,5667.97,INR,captured,2026-03-01T14:36:00Z,wallet,MREF_10001
PAY_10002,ORDER_10002,5832.33,INR,captured,2026-03-01T07:31:00Z,upi,MREF_10002
PAY_10003,ORDER_10003,6416.44,INR,captured,2026-03-01T19:25:00Z,netbanking,MREF_10003
PAY_10004,ORDER_10004,3851.82,INR,captured,2026-03-01T08:16:00Z,upi,MREF_10004
PAY_10005,ORDER_10005,5540.63,INR,captured,2026-03-01T08:35:00Z,upi,MREF_10005
PAY_10006,ORDER_10006,3119.66,INR,captured,2026-03-01T18:46:00Z,netbanking,MREF_10006
PAY_10007,ORDER_10007,9291.21,INR,captured,2026-03-01T06:44:00Z,upi,MREF_10007
PAY_10008,ORDER_10008,5324.71,INR,captured,2026-03-01T17:20:00Z,netbanking,MREF_10008
PAY_10009,ORDER_10009,7819.68,INR,captured,2026-03-01T08:50:00Z,upi,MREF_10009
PAY_10010,ORDER_10010,4799.37,INR,captured,2026-03-01T07:50:00Z,netbanking,MREF_10010
PAY_10011,ORDER_10011,981.21,INR,captured,2026-03-01T14:44:00Z,netbanking,MREF_10011
PAY_10012,ORDER_10012,9353.88,INR,captured,2026-03-01T13:38:00Z,upi,MREF_10012
PAY_10013,ORDER_10013,7007.34,INR,captured,2026-03-01T11:02:00Z,upi,MREF_10013
PAY_10014,ORDER_10014,3402.16,INR,captured,2026-03-01T10:33:00Z,wallet,MREF_10014
PAY_10015,ORDER_10015,5980.98,INR,captured,2026-03-01T07:37:00Z,card,MREF_10015
PAY_10016,ORDER_10016,8124.74,INR,captured,2026-03-01T12:56:00Z,netbanking,MREF_10016
PAY_10017,ORDER_10017,4215.93,INR,captured,2026-03-01T20:35:00Z,upi,MREF_10017
PAY_10018,ORDER_10018,2969.92,INR,captured,2026-03-01T06:52:00Z,upi,MREF_10018
PAY_10019,ORDER_10019,5241.23,INR,captured,2026-03-01T07:44:00Z,netbanking,MREF_10019
PAY_10020,ORDER_10020,8419.21,INR,captured,2026-03-01T14:37:00Z,wallet,MREF_10020
