bank_transaction_id,amount,direction,posted_at,reference,description
BANK_20260301,56193.93,credit,2026-03-03T09:00:00Z,UTR20260301015,NEFT settlement credit
BANK_20260302,90092.55,credit,2026-03-04T09:00:00Z,UTR20260302020,NEFT settlement credit
BANK_20260303,100262.42,credit,2026-03-05T09:00:00Z,UTR20260303020,NEFT settlement credit
BANK_20260304,50885.35,credit,2026-03-06T09:00:00Z,UTR20260304012,NEFT settlement credit
BANK_20260305,47259.19,credit,2026-03-07T09:00:00Z,NEFT-BATCH-552424,NEFT settlement credit
BANK_20260306,73061.32,credit,2026-03-08T09:00:00Z,UTR20260306020,NEFT settlement credit
BANK_20260307,91005.95,credit,2026-03-09T09:00:00Z,UTR20260307021,NEFT settlement credit
BANK_20260308,48128.47,credit,2026-03-10T09:00:00Z,UTR20260308016,NEFT settlement credit
BANK_20260309,91206.69,credit,2026-03-11T09:00:00Z,UTR20260309023,NEFT settlement credit
BANK_20260310,59307.01,credit,2026-03-12T09:00:00Z,UTR20260310014,NEFT settlement credit
BANK_20260311,75838.29,credit,2026-03-13T09:00:00Z,UTR20260311016,NEFT settlement credit
BANK_20260312,68428.94,credit,2026-03-14T09:00:00Z,UTR20260312018,NEFT settlement credit
BANK_20260313,92096.17,credit,2026-03-15T09:00:00Z,UTR20260313019,NEFT settlement credit
BANK_20260314,46160.70,credit,2026-03-16T09:00:00Z,UTR20260314012,NEFT settlement credit
BANK_20260315,59041.18,credit,2026-03-17T09:00:00Z,UTR20260315015,NEFT settlement credit
BANK_20260316,64625.08,credit,2026-03-18T09:00:00Z,UTR20260316017,NEFT settlement credit
BANK_20260317,82264.37,credit,2026-03-19T09:00:00Z,UTR20260317020,NEFT settlement credit
BANK_20260318,89612.14,credit,2026-03-20T09:00:00Z,UTR20260318018,NEFT settlement credit
BANK_20260319,85065.81,credit,2026-03-21T09:00:00Z,UTR20260319018,NEFT settlement credit
BANK_20260320,73640.44,credit,2026-03-22T09:00:00Z,UTR20260320017,NEFT settlement credit
BANK_20260321,107778.89,credit,2026-03-23T09:00:00Z,UTR20260321022,NEFT settlement credit
BANK_20260322,85282.85,credit,2026-03-24T09:00:00Z,NEFT-BATCH-502108,NEFT settlement credit
BANK_20260323,72338.04,credit,2026-03-25T09:00:00Z,UTR20260323016,NEFT settlement credit
BANK_20260324,32553.02,credit,2026-03-26T09:00:00Z,UTR20260324008,NEFT settlement credit
BANK_20260325,45902.07,credit,2026-03-27T09:00:00Z,UTR20260325010,NEFT settlement credit
BANK_20260326,45791.11,credit,2026-03-28T09:00:00Z,UTR20260326012,NEFT settlement credit
BANK_20260327,93319.84,credit,2026-03-29T09:00:00Z,UTR20260327020,NEFT settlement credit
BANK_20260328,60793.38,credit,2026-03-30T09:00:00Z,UTR20260328014,NEFT settlement credit
BANK_20260329,65004.03,credit,2026-03-31T09:00:00Z,UTR20260329016,NEFT settlement credit
BANK_20260330,88659.55,credit,2026-04-01T09:00:00Z,UTR20260330021,NEFT settlement credit
