payment_id,order_id,amount,currency,status,captured_at,method,merchant_reference
PAY_10001,ORDER_10001,6412.01,INR,captured,2026-03-19T13:51:00Z,card,MREF_10001
PAY_10002,ORDER_10002,8242.18,INR,captured,2026-03-16T10:37:00Z,upi,MREF_10002
PAY_10003,ORDER_10003,3020.46,INR,captured,2026-03-08T20:44:00Z,card,MREF_10003
PAY_10004,ORDER_10004,185.93,INR,captured,2026-03-16T16:36:00Z,upi,MREF_10004
PAY_10005,ORDER_10005,444.87,INR,captured,2026-03-26T06:35:00Z,upi,MREF_10005
PAY_10006,ORDER_10006,5108.63,INR,captured,2026-03-02T08:47:00Z,card,MREF_10006
PAY_10007,ORDER_10007,7714.36,INR,captured,2026-03-06T19:29:00Z,upi,MREF_10007
PAY_10008,ORDER_10008,5354.20,INR,captured,2026-03-14T06:03:00Z,netbanking,MREF_10008
PAY_10009,ORDER_10009,2988.93,INR,captured,2026-03-08T16:12:00Z,netbanking,MREF_10009
PAY_10010,ORDER_10010,2807.33,INR,captured,2026-03-26T14:12:00Z,upi,MREF_10010
PAY_10011,ORDER_10011,6630.37,INR,captured,2026-03-03T16:40:00Z,wallet,MREF_10011
PAY_10012,ORDER_10012,8960.45,INR,captured,2026-03-03T21:25:00Z,card,MREF_10012
PAY_10013,ORDER_10013,4654.10,INR,captured,2026-03-04T06:21:00Z,netbanking,MREF_10013
PAY_10014,ORDER_10014,8891.01,INR,captured,2026-03-27T07:43:00Z,upi,MREF_10014
PAY_10015,ORDER_10015,7834.68,INR,captured,2026-03-22T08:31:00Z,card,MREF_10015
PAY_10016,ORDER_10016,4207.80,INR,captured,2026-03-30T15:54:00Z,netbanking,MREF_10016
PAY_10017,ORDER_10017,6970.02,INR,captured,2026-03-11T15:19:00Z,upi,MREF_10017
PAY_10018,ORDER_10018,9444.00,INR,captured,2026-03-14T19:41:00Z,wallet,MREF_10018
PAY_10019,ORDER_10019,1093.20,INR,captured,2026-03-13T14:17:00Z,netbanking,MREF_10019
PAY_10020,ORDER_10020,1025.54,INR,captured,2026-03-10T18:54:00Z,upi,MREF_10020
PAY_10021,ORDER_10021,1817.99,INR,captured,2026-03-25T08:58:00Z,netbanking,MREF_10021
PAY_10022,ORDER_10022,1678.14,INR,captured,2026-03-21T09:24:00Z,netbanking,MREF_10022
PAY_10023,ORDER_10023,8442.31,INR,captured,2026-03-11T09:37:00Z,upi,MREF_10023
PAY_10024,ORDER_10024,8225.61,INR,captured,2026-03-24T12:07:00Z,upi,MREF_10024
PAY_10025,ORDER_10025,8339.88,INR,captured,2026-03-01T17:38:00Z,wallet,MREF_10025
PAY_10026,ORDER_10026,1870.61,INR,captured,2026-03-07T15:29:00Z,card,MREF_10026
PAY_10027,ORDER_10027,2725.78,INR,captured,2026-03-22T17:17:00Z,upi,MREF_10027
PAY_10028,ORDER_10028,5501.48,INR,captured,2026-03-01T09:59:00Z,wallet,MREF_10028
PAY_10029,ORDER_10029,2884.90,INR,captured,2026-03-05T08:33:00Z,upi,MREF_10029
PAY_10030,ORDER_10030,3876.10,INR,captured,2026-03-14T12:41:00Z,upi,MREF_10030
PAY_10031,ORDER_10031,5861.63,INR,captured,2026-03-27T11:29:00Z,netbanking,MREF_10031
PAY_10032,ORDER_10032,2943.59,INR,captured,2026-03-18T09:19:00Z,upi,MREF_10032
PAY_10033,ORDER_10033,6648.12,INR,captured,2026-03-21T09:10:00Z,upi,MREF_10033
PAY_10034,ORDER_10034,5549.96,INR,captured,2026-03-04T11:02:00Z,card,MREF_10034
PAY_10035,ORDER_10035,8683.07,INR,captured,2026-03-15T12:42:00Z,wallet,MREF_10035
PAY_10036,ORDER_10036,5065.06,INR,captured,2026-03-14T08:52:00Z,wallet,MREF_10036
PAY_10037,ORDER_10037,5935.25,INR,captured,2026-03-27T13:08:00Z,wallet,MREF_10037
PAY_10038,ORDER_10038,9354.99,INR,captured,2026-03-07T12:32:00Z,upi,MREF_10038
PAY_10039,ORDER_10039,650.64,INR,captured,2026-03-26T19:44:00Z,card,MREF_10039
PAY_10040,ORDER_10040,7263.47,INR,captured,2026-03-06T14:40:00Z,wallet,MREF_10040
PAY_10041,ORDER_10041,8125.21,INR,captured,2026-03-25T16:50:00Z,netbanking,MREF_10041
PAY_10042,ORDER_10042,6517.24,INR,captured,2026-03-11T13:52:00Z,upi,MREF_10042
PAY_10043,ORDER_10043,8047.66,INR,captured,2026-03-29T16:19:00Z,card,MREF_10043
PAY_10044,ORDER_10044,6205.58,INR,captured,2026-03-11T06:05:00Z,netbanking,MREF_10044
PAY_10045,ORDER_10045,6764.91,INR,captured,2026-03-29T20:27:00Z,card,MREF_10045
PAY_10046,ORDER_10046,2870.70,INR,captured,2026-03-09T08:02:00Z,upi,MREF_10046
PAY_10047,ORDER_10047,7487.79,INR,captured,2026-03-18T17:47:00Z,card,MREF_10047
PAY_10048,ORDER_10048,4535.41,INR,captured,2026-03-20T14:26:00Z,upi,MREF_10048
PAY_10049,ORDER_10049,1530.48,INR,captured,2026-03-13T11:18:00Z,netbanking,MREF_10049
PAY_10050,ORDER_10050,6202.95,INR,captured,2026-03-09T14:32:00Z,upi,MREF_10050
PAY_10051,ORDER_10051,8969.29,INR,captured,2026-03-05T06:08:00Z,card,MREF_10051
PAY_10052,ORDER_10052,1073.69,INR,captured,2026-03-27T12:30:00Z,wallet,MREF_10052
PAY_10053,ORDER_10053,6720.84,INR,captured,2026-03-02T11:13:00Z,netbanking,MREF_10053
PAY_10054,ORDER_10054,6332.22,INR,captured,2026-03-03T21:45:00Z,wallet,MREF_10054
PAY_10055,ORDER_10055,1803.38,INR,captured,2026-03-17T18:31:00Z,card,MREF_10055
PAY_10056,ORDER_10056,6434.51,INR,captured,2026-03-03T06:15:00Z,netbanking,MREF_10056
PAY_10057,ORDER_10057,3859.74,INR,captured,2026-03-17T21:01:00Z,upi,MREF_10057
PAY_10058,ORDER_10058,2066.43,INR,captured,2026-03-09T19:32:00Z,wallet,MREF_10058
PAY_10059,ORDER_10059,8191.14,INR,captured,2026-03-29T10:31:00Z,wallet,MREF_10059
PAY_10060,ORDER_10060,3066.97,INR,captured,2026-03-21T15:48:00Z,upi,MREF_10060
PAY_10061,ORDER_10061,5332.58,INR,captured,2026-03-23T14:41:00Z,netbanking,MREF_10061
PAY_10062,ORDER_10062,3036.52,INR,captured,2026-03-30T21:45:00Z,netbanking,MREF_10062
PAY_10063,ORDER_10063,8358.64,INR,captured,2026-03-21T19:23:00Z,upi,MREF_10063
PAY_10064,ORDER_10064,5132.24,INR,captured,2026-03-27T12:20:00Z,wallet,MREF_10064
PAY_10065,ORDER_10065,1560.54,INR,captured,2026-03-19T19:41:00Z,upi,MREF_10065
PAY_10066,ORDER_10066,6047.65,INR,captured,2026-03-29T13:16:00Z,wallet,MREF_10066
PAY_10067,ORDER_10067,8066.94,INR,captured,2026-03-23T17:11:00Z,wallet,MREF_10067
PAY_10068,ORDER_10068,4824.12,INR,captured,2026-03-17T13:04:00Z,wallet,MREF_10068
PAY_10069,ORDER_10069,5908.31,INR,captured,2026-03-21T12:26:00Z,netbanking,MREF_10069
PAY_10070,ORDER_10070,1062.19,INR,captured,2026-03-16T06:10:00Z,card,MREF_10070
PAY_10071,ORDER_10071,6539.32,INR,captured,2026-03-12T19:50:00Z,card,MREF_10071
PAY_10072,ORDER_10072,2671.43,INR,captured,2026-03-01T10:42:00Z,wallet,MREF_10072
PAY_10073,ORDER_10073,3376.49,INR,captured,2026-03-19T20:53:00Z,card,MREF_10073
PAY_10074,ORDER_10074,2756.14,INR,captured,2026-03-19T09:28:00Z,upi,MREF_10074
PAY_10075,ORDER_10075,5684.50,INR,captured,2026-03-22T14:29:00Z,card,MREF_10075
PAY_10076,ORDER_10076,1240.12,INR,captured,2026-03-24T17:55:00Z,card,MREF_10076
PAY_10077,ORDER_10077,2299.83,INR,captured,2026-03-01T11:14:00Z,wallet,MREF_10077
PAY_10078,ORDER_10078,6219.48,INR,captured,2026-03-18T19:20:00Z,card,MREF_10078
PAY_10079,ORDER_10079,2061.48,INR,captured,2026-03-23T18:22:00Z,wallet,MREF_10079
PAY_10080,ORDER_10080,7373.38,INR,captured,2026-03-16T08:04:00Z,upi,MREF_10080
PAY_10081,ORDER_10081,9047.30,INR,captured,2026-03-27T18:29:00Z,card,MREF_10081
PAY_10082,ORDER_10082,2081.34,INR,captured,2026-03-05T14:40:00Z,wallet,MREF_10082
PAY_10083,ORDER_10083,5786.06,INR,captured,2026-03-08T08:39:00Z,netbanking,MREF_10083
PAY_10084,ORDER_10084,7116.82,INR,captured,2026-03-07T20:31:00Z,card,MREF_10084
PAY_10085,ORDER_10085,590.06,INR,captured,2026-03-29T15:17:00Z,upi,MREF_10085
PAY_10086,ORDER_10086,8216.95,INR,captured,2026-03-22T18:15:00Z,upi,MREF_10086
PAY_10087,ORDER_10087,1911.37,INR,captured,2026-03-06T16:30:00Z,wallet,MREF_10087
PAY_10088,ORDER_10088,2129.03,INR,captured,2026-03-03T08:59:00Z,upi,MREF_10088
PAY_10089,ORDER_10089,6454.39,INR,captured,2026-03-16T15:29:00Z,card,MREF_10089
