refund_id,payment_id,amount,status,created_at
REF_50001,PAY_10001,6412.01,processed,2026-03-19T13:51:00Z
REF_50002,PAY_10007,7714.36,processed,2026-03-06T19:29:00Z
REF_50003,PAY_10011,6630.37,processed,2026-03-03T16:40:00Z
REF_50004,PAY_10015,7834.68,processed,2026-03-22T08:31:00Z
REF_50005,PAY_10020,1025.54,processed,2026-03-10T18:54:00Z
REF_50006,PAY_10045,6764.91,processed,2026-03-29T20:27:00Z
REF_50007,PAY_10046,1000.24,processed,2026-03-09T08:02:00Z
REF_50008,PAY_10052,598.99,processed,2026-03-27T12:30:00Z
REF_50009,PAY_10057,1355.09,processed,2026-03-17T21:01:00Z
REF_50010,PAY_10065,523.93,processed,2026-03-19T19:41:00Z
REF_50011,PAY_10066,6047.65,processed,2026-03-29T13:16:00Z
REF_50012,PAY_10069,3509.15,processed,2026-03-21T12:26:00Z
REF_50013,PAY_10074,2756.14,processed,2026-03-19T09:28:00Z
REF_50014,PAY_10087,1911.37,processed,2026-03-06T16:30:00Z
REF_50015,PAY_10091,889.80,processed,2026-03-23T13:29:00Z
REF_50016,PAY_10092,4133.39,processed,2026-03-02T19:21:00Z
REF_50017,PAY_10093,292.08,processed,2026-03-16T06:39:00Z
REF_50018,PAY_10108,2552.52,processed,2026-03-08T15:22:00Z
REF_50019,PAY_10128,2177.91,processed,2026-03-10T14:23:00Z
REF_50020,PAY_10130,3696.61,processed,2026-03-14T08:34:00Z
REF_50021,PAY_10152,558.42,processed,2026-03-12T07:56:00Z
REF_50022,PAY_10159,8018.22,processed,2026-03-25T09:00:00Z
REF_50023,PAY_10163,3601.88,processed,2026-03-12T07:16:00Z
REF_50024,PAY_10169,3859.34,processed,2026-03-07T12:06:00Z
REF_50025,PAY_10170,5372.27,processed,2026-03-07T15:36:00Z
REF_50026,PAY_10186,2263.46,processed,2026-03-28T15:30:00Z
REF_50027,PAY_10190,848.89,processed,2026-03-08T19:21:00Z
REF_50028,PAY_10193,4367.81,processed,2026-03-19T16:30:00Z
REF_50029,PAY_10228,1964.62,processed,2026-03-07T07:02:00Z
REF_50030,PAY_10233,967.09,processed,2026-03-30T11:13:00Z
REF_50031,PAY_10248,2862.20,processed,2026-03-22T13:32:00Z
REF_50032,PAY_10252,4529.11,processed,2026-03-26T15:03:00Z
REF_50033,PAY_10269,4921.84,processed,2026-03-12T12:21:00Z
REF_50034,PAY_10275,9075.95,processed,2026-03-27T21:34:00Z
REF_50035,PAY_10295,5781.28,processed,2026-03-11T08:37:00Z
REF_50036,PAY_10299,4959.51,processed,2026-03-04T21:51:00Z
REF_50037,PAY_10305,1997.07,processed,2026-03-08T18:53:00Z
REF_50038,PAY_10312,3435.30,processed,2026-03-17T14:59:00Z
REF_50039,PAY_10363,2966.08,processed,2026-03-06T09:45:00Z
REF_50040,PAY_10366,3428.06,processed,2026-03-21T21:54:00Z
REF_50041,PAY_10374,4169.33,processed,2026-03-01T16:55:00Z
REF_50042,PAY_10376,9121.82,processed,2026-03-08T12:44:00Z
REF_50043,PAY_10388,2944.98,processed,2026-03-23T07:55:00Z
REF_50044,PAY_10396,5824.34,processed,2026-03-11T16:32:00Z
REF_50045,PAY_10397,504.21,processed,2026-03-20T13:23:00Z
REF_50046,PAY_10406,1016.70,processed,2026-03-05T06:06:00Z
REF_50047,PAY_10419,9193.68,processed,2026-03-11T15:36:00Z
REF_50048,PAY_10420,5449.58,processed,2026-03-01T20:52:00Z
REF_50049,PAY_10435,2501.17,processed,2026-03-01T18:43:00Z
REF_50050,PAY_10436,1173.19,processed,2026-03-10T10:19:00Z
REF_50051,PAY_10440,1133.00,processed,2026-03-18T07:01:00Z
REF_50052,PAY_10461,2972.57,processed,2026-03-26T10:10:00Z
REF_50053,PAY_10462,4775.95,processed,2026-03-02T10:51:00Z
REF_50054,PAY_10464,2520.59,processed,2026-03-17T19:47:00Z
REF_50055,PAY_10465,6312.53,processed,2026-03-02T17:45:00Z
REF_50056,PAY_10469,4898.70,processed,2026-03-11T15:05:00Z
REF_50057,PAY_10476,2430.29,processed,2026-03-27T08:16:00Z
REF_50058,PAY_10477,3314.77,processed,2026-03-06T07:27:00Z
REF_50059,PAY_10478,3661.55,processed,2026-03-30T08:50:00Z
REF_50060,PAY_10485,3550.22,processed,2026-03-18T20:53:00Z
REF_50061,PAY_10487,797.53,processed,2026-03-30T10:24:00Z
REF_50062,PAY_10500,2197.47,processed,2026-03-06T18:24:00Z
REF_90063,PAY_10045,6764.91,processed,2026-03-29T20:27:00Z
REF_90064,PAY_10130,3696.61,processed,2026-03-14T08:34:00Z
REF_90065,PAY_10485,3550.22,processed,2026-03-18T20:53:00Z
