settlement_id,day,gross_amount,fee_amount,tax_amount,adjustment_amount,net_amount,settled_at,bank_reference
SET_20260301,2026-03-01,69965.18,1399.30,251.87,0.00,56193.93,2026-03-02T18:00:00Z,UTR20260301015
SET_20260302,2026-03-02,107859.92,2157.20,388.30,0.00,90092.55,2026-03-03T18:00:00Z,UTR20260302020
SET_20260303,2026-03-03,109476.44,2189.53,394.12,0.00,100262.42,2026-03-04T18:00:00Z,UTR20260303020
SET_20260304,2026-03-04,56168.97,1123.38,202.21,0.00,49883.87,2026-03-05T18:00:00Z,UTR20260304012
SET_20260305,2026-03-05,49442.73,988.85,177.99,0.00,47259.19,2026-03-06T18:00:00Z,UTR20260305013
SET_20260306,2026-03-06,93368.88,1867.38,336.13,0.00,73061.32,2026-03-07T18:00:00Z,UTR20260306020
SET_20260307,2026-03-07,110456.57,2209.13,397.64,-5647.62,91005.95,2026-03-08T18:00:00Z,UTR20260307021
SET_20260308,2026-03-08,64163.02,1283.26,230.99,0.00,48128.47,2026-03-09T18:00:00Z,UTR20260308016
SET_20260309,2026-03-09,94435.61,1888.71,339.97,0.00,91206.69,2026-03-10T18:00:00Z,UTR20260309023
SET_20260310,2026-03-10,65222.91,1304.46,234.80,0.00,59307.01,2026-03-11T18:00:00Z,UTR20260310014
SET_20260311,2026-03-11,103990.47,2079.81,374.37,0.00,75838.29,2026-03-12T18:00:00Z,UTR20260311016
SET_20260312,2026-03-12,79384.55,1587.69,285.78,0.00,68428.94,2026-03-13T18:00:00Z,UTR20260312018
SET_20260313,2026-03-13,100735.15,2014.70,362.65,-4910.60,93447.20,2026-03-14T18:00:00Z,UTR20260313019
SET_20260314,2026-03-14,51062.39,1021.25,183.83,0.00,46160.70,2026-03-15T18:00:00Z,UTR20260314012
SET_20260315,2026-03-15,61712.10,1234.24,222.16,0.00,60255.70,2026-03-16T18:00:00Z,UTR20260315015
SET_20260316,2026-03-16,65997.89,1319.96,237.59,0.00,64148.26,2026-03-17T18:00:00Z,UTR20260316017
SET_20260317,2026-03-17,91740.43,1834.81,330.27,0.00,82264.37,2026-03-18T18:00:00Z,UTR20260317020
SET_20260318,2026-03-18,96574.52,1931.49,347.67,0.00,89612.14,2026-03-19T18:00:00Z,UTR20260318018
SET_20260319,2026-03-19,100629.34,1274.27,229.37,0.00,85065.81,2026-03-20T18:00:00Z,UTR20260319018
SET_20260320,2026-03-20,76362.58,1879.60,338.33,0.00,73640.44,2026-03-21T18:00:00Z,UTR20260320017
SET_20260321,2026-03-21,117488.84,2349.78,422.96,0.00,107778.89,2026-03-22T18:00:00Z,UTR20260321022
SET_20260322,2026-03-22,98299.60,1965.99,353.88,0.00,85282.85,2026-03-23T18:00:00Z,UTR20260322017
SET_20260323,2026-03-23,77521.62,1143.05,205.75,0.00,72338.04,2026-03-24T18:00:00Z,UTR20260323016
SET_20260324,2026-03-24,34738.11,1851.77,333.32,0.00,32553.02,2026-03-25T18:00:00Z,UTR20260324008
SET_20260325,2026-03-25,55223.56,1104.47,198.80,0.00,45902.07,2026-03-26T18:00:00Z,UTR20260325010
SET_20260326,2026-03-26,54580.90,1091.62,196.49,0.00,45791.11,2026-03-27T18:00:00Z,UTR20260326012
SET_20260327,2026-03-27,107973.23,2159.46,388.70,0.00,93319.84,2026-03-28T18:00:00Z,UTR20260327020
SET_20260328,2026-03-28,70157.01,1403.14,252.57,-5444.46,60793.38,2026-03-29T18:00:00Z,UTR20260328014
SET_20260329,2026-03-29,79697.45,1593.95,286.91,0.00,65004.03,2026-03-30T18:00:00Z,UTR20260329016
SET_20260330,2026-03-30,96359.82,1927.20,346.90,0.00,88659.55,2026-03-31T18:00:00Z,UTR20260330021
